Station Index,Date,temp-max,temp-min,temp-avg,wind-max,wind-min,wind-avg,rain-max,rain-min,rain-avg,rh-max,rh-min,rh-avg,Temp-max-lag1,Temp-min-lag1,Temp-avg-lag1,Wind-max-lag1,Wind-min-lag1,Wind-avg-lag1,Rain-max-lag1,Rain-min-lag1,Rain-avg-lag1,Rh-max-lag1,Rh-min-lag1,Rh-avg-lag1,Temp-max-lag2,Temp-min-lag2,Temp-avg-lag2,Wind-max-lag2,Wind-min-lag2,Wind-avg-lag2,Rain-max-lag2,Rain-min-lag2,Rain-avg-lag2,Rh-max-lag2,Rh-min-lag2,Rh-avg-lag2
42807,05-02-2019,26.9,14.6,19.9,8,0,2.041666667,0,0,0,88,33,63.08333333,28.7,14.8,20.7,10,0,1.541666667,0,0,0,86,25,60.04166667,29.6,14.6,20.7,14,0,2.041666667,0,0,0,93,26,59.58333333
42807,06-02-2019,28.5,14.4,20.5,3,0,0.416666667,0,0,0,94,31,64.70833333,26.9,14.6,19.9,8,0,2.041666667,0,0,0,88,33,63.08333333,28.7,14.8,20.7,10,0,1.541666667,0,0,0,86,25,60.04166667
42807,07-02-2019,30.2,15.7,22.4,2,0,0.416666667,0,0,0,94,37,66.33333333,28.5,14.4,20.5,3,0,0.416666667,0,0,0,94,31,64.70833333,26.9,14.6,19.9,8,0,2.041666667,0,0,0,88,33,63.08333333
42807,08-02-2019,30.1,17.7,23.7,10,0,2.041666667,0,0,0,93,34,64.29166667,30.2,15.7,22.4,2,0,0.416666667,0,0,0,94,37,66.33333333,28.5,14.4,20.5,3,0,0.416666667,0,0,0,94,31,64.70833333
42807,09-02-2019,26.6,19.2,22.2,10,0,4.875,0,0,0,86,54,71.125,30.1,17.7,23.7,10,0,2.041666667,0,0,0,93,34,64.29166667,30.2,15.7,22.4,2,0,0.416666667,0,0,0,94,37,66.33333333
42807,10-02-2019,25.5,16.2,20.1,11,0,4.625,0,0,0,80,29,56.58333333,26.6,19.2,22.2,10,0,4.875,0,0,0,86,54,71.125,30.1,17.7,23.7,10,0,2.041666667,0,0,0,93,34,64.29166667
42807,11-02-2019,26.5,13.9,19.6,9,0,2.875,0,0,0,92,29,61.08333333,25.5,16.2,20.1,11,0,4.625,0,0,0,80,29,56.58333333,26.6,19.2,22.2,10,0,4.875,0,0,0,86,54,71.125
42807,12-02-2019,27.2,15.2,20.2,9,0,2.75,0.5,0,0,90,31,60.375,26.5,13.9,19.6,9,0,2.875,0,0,0,92,29,61.08333333,25.5,16.2,20.1,11,0,4.625,0,0,0,80,29,56.58333333
42807,13-02-2019,28.5,15.5,20.9,7,0,1.666666667,0,0,0,93,31,62.70833333,27.2,15.2,20.2,9,0,2.75,0.5,0,0,90,31,60.375,26.5,13.9,19.6,9,0,2.875,0,0,0,92,29,61.08333333
42807,14-02-2019,30.3,15.6,21.9,4,0,0.625,0,0,0,89,30,62.33333333,28.5,15.5,20.9,7,0,1.666666667,0,0,0,93,31,62.70833333,27.2,15.2,20.2,9,0,2.75,0.5,0,0,90,31,60.375
42807,15-02-2019,31.4,16.1,22.9,7,0,1.125,0,0,0,91,34,63.20833333,30.3,15.6,21.9,4,0,0.625,0,0,0,89,30,62.33333333,28.5,15.5,20.9,7,0,1.666666667,0,0,0,93,31,62.70833333
42807,16-02-2019,28,19.5,22.3,8,0,2.083333333,0,0,0,84,43,68.54166667,31.4,16.1,22.9,7,0,1.125,0,0,0,91,34,63.20833333,30.3,15.6,21.9,4,0,0.625,0,0,0,89,30,62.33333333
42807,17-02-2019,29,18.5,22.8,8,0,2.375,0,0,0,89,35,64.08333333,28,19.5,22.3,8,0,2.083333333,0,0,0,84,43,68.54166667,31.4,16.1,22.9,7,0,1.125,0,0,0,91,34,63.20833333
42807,18-02-2019,28.5,16.2,21.7,6,0,1.416666667,0,0,0,86,31,58.25,29,18.5,22.8,8,0,2.375,0,0,0,89,35,64.08333333,28,19.5,22.3,8,0,2.083333333,0,0,0,84,43,68.54166667
42807,19-02-2019,32,17,23.7,6,0,1.541666667,0,0,0,96,32,67.83333333,28.5,16.2,21.7,6,0,1.416666667,0,0,0,86,31,58.25,29,18.5,22.8,8,0,2.375,0,0,0,89,35,64.08333333
42807,20-02-2019,32.2,21.5,25.6,6,0,2.125,0,0,0,93,31,63.04166667,32,17,23.7,6,0,1.541666667,0,0,0,96,32,67.83333333,28.5,16.2,21.7,6,0,1.416666667,0,0,0,86,31,58.25
42807,21-02-2019,33,20.2,25.5,6,0,1.708333333,0,0,0,94,27,65.20833333,32.2,21.5,25.6,6,0,2.125,0,0,0,93,31,63.04166667,32,17,23.7,6,0,1.541666667,0,0,0,96,32,67.83333333
42807,22-02-2019,33.5,21.1,26.5,8,0,2.375,0,0,0,95,38,71.375,33,20.2,25.5,6,0,1.708333333,0,0,0,94,27,65.20833333,32.2,21.5,25.6,6,0,2.125,0,0,0,93,31,63.04166667
42807,23-02-2019,33.9,21.8,27,8,0,2.208333333,0,0,0,84,37,63.08333333,33.5,21.1,26.5,8,0,2.375,0,0,0,95,38,71.375,33,20.2,25.5,6,0,1.708333333,0,0,0,94,27,65.20833333
42807,24-02-2019,32,21.5,26.2,8,0,1.958333333,0,0,0,79,29,53.95833333,33.9,21.8,27,8,0,2.208333333,0,0,0,84,37,63.08333333,33.5,21.1,26.5,8,0,2.375,0,0,0,95,38,71.375
42807,25-02-2019,23.7,16.8,20.8,25,0,4.75,0,0,0,97,74,87.25,32,21.5,26.2,8,0,1.958333333,0,0,0,79,29,53.95833333,33.9,21.8,27,8,0,2.208333333,0,0,0,84,37,63.08333333
42807,26-02-2019,24.5,19.7,21.3,13,0,3.791666667,0,0,0,96,81,91.41666667,23.7,16.8,20.8,25,0,4.75,0,0,0,97,74,87.25,32,21.5,26.2,8,0,1.958333333,0,0,0,79,29,53.95833333
42807,27-02-2019,27.1,17.6,21.2,14,0,5.708333333,0,0,0,96,73,89.08333333,24.5,19.7,21.3,13,0,3.791666667,0,0,0,96,81,91.41666667,23.7,16.8,20.8,25,0,4.75,0,0,0,97,74,87.25
42807,28-02-2019,23.5,18.9,20.7,12,0,3.208333333,3.2,0,0.4,96,72,86.70833333,27.1,17.6,21.2,14,0,5.708333333,0,0,0,96,73,89.08333333,24.5,19.7,21.3,13,0,3.791666667,0,0,0,96,81,91.41666667
